code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
6253502846100,415.38461538462,1738.0,27.692307692308,11.076923076923,46.153846153846,32.307692307692,1.5384615384615,0.0,0.0,2
2502442003079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5011053023446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5425032452316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8033100324235,183.0,766.0,15.5,3.5,8.9,8.9,0.8,2.0,0.8,3
3263857019213,24.0,100.0,0.0,0.0,5.9,5.5,0.0,0.01,0.004,1
8031183005232,74.0,310.0,0.2,0.0,18.7,13.9,0.8,1.0,0.4,1
3460778517358,117.0,490.0,4.3,2.9,6.3,1.0,12.6,1.0,0.4,1
8682214719491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5000169188057,43.0,180.0,0.1,0.0,8.7,8.7,0.9,0.0,0.0,1
375672,87.0,364.0,3.1,0.3,11.7,7.0,1.8,0.5,0.2,1
8033406494649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4044564741005,302.0,1264.0,16.0,9.2,34.0,10.0,4.2,0.8,0.32,3
3428420022582,237.0,992.0,14.0,8.8,22.0,19.0,4.4,0.15,0.06,3
840224600255,112.90322580645,472.0,7.258064516129,0.80645161290323,6.4516129032258,0.0,3.2258064516129,2.1370967741936,0.85483870967744,1
16110323511600019910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8410643001234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9300650028944,444.0,1858.0,14.5,3.7,66.4,27.0,7.8,0.6125,0.245,2
04233424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555555555555,0.022222222222222,1
7502220942830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8053046000970,823.0,3443.0,91.0,13.0,0.0,0.0,0.0,0.0,0.0,0
6928037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41143024539,300.0,1255.0,0.0,0.0,80.0,57.5,2.5,0.0,0.0,3
37100042432,56.0,234.0,0.4,0.0,9.6,4.8,3.2,0.6,0.24,1
3428881119203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9339687049783,341.7782,1430.0,19.7,11.1,37.6,18.3,3.6,0.4075,0.163,2
3412610339062,241.0,1008.0,12.1,2.7,24.7,4.1,8.3,1.7,0.68,3
4009932001440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
840134363073,152.0,1590.98,6.8,4.0,16.8,2.4,6.0,1230.0,492.0,2
0099482806590,111.0,464.0,7.08,3.54,7.52,0.88,3.98,0.5425,0.217,1
857886006349,10.0,42.0,0.0,0.0,3.4,1.7,0.0,0.0,0.0,1
893,480.0,2008.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,2
8024370060213,222.0,929.0,12.0,2.3,0.0,0.0,29.0,12.0,4.8,3
4056489175858,98.0,410.0,2.7000000476837,1.7999999523163,15.0,15.0,3.5,0.10000000149012,0.040000000596048,1
7624841394604,292.0,1222.0,25.0,3.5,12.0,8.2,3.9,1.6,0.64,3
21093647,233.0,975.0,8.5,4.8,29.0,2.4,9.1,0.9,0.36,3
50000328222,223.0,937.0,10.0,0.0,33.3,33.3,0.0,0.0833,0.0333,3
4056489625926,400.0,1674.0,13.4,3.2,60.0,19.8,5.5,0.43,0.172,2
5000112651638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7613413557240,369.0,1544.0,2.0,0.4,73.0,0.0,13.0,0.0,0.0,2
8432425094043,55.6404,233.0,1.1,0.6,3.7,3.2,7.7,0.07,0.028,1
0027578250309,333.33333333333,1395.0,5.5555555555556,2.7777777777778,61.111111111111,0.0,5.5555555555556,0.97222222222222,0.388888888888888,2
4010355220608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
72878176248,66.666666666667,279.0,3.3333333333333,0.0,6.6666666666667,0.0,0.0,2.3333333333333,0.93333333333332,1
3583788042877,418.0,1749.0,18.0,11.0,35.0,10.0,31.0,0.49,0.196,2
70552701366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,1.1,1
21130465415,300.0,1255.0,0.0,0.0,80.0,73.333333333333,0.0,0.0,0.0,3
